nama_label,label,image_path,bounding_box,status
tomato,8,valid/images/-10_jpg.rf.ea8bbb6cbc0a74e0b901f22c3339619f.jpg,"[121, 469, 237, 589]",1
tomato,8,valid/images/-10_jpg.rf.ea8bbb6cbc0a74e0b901f22c3339619f.jpg,"[28, 542, 148, 663]",1
tomato,8,valid/images/-10_jpg.rf.ea8bbb6cbc0a74e0b901f22c3339619f.jpg,"[0, 458, 105, 563]",1
tomato,8,valid/images/images-20-_augmented_3_jpg.rf.023466a563cb1185f0813d7f65a1b889.jpg,"[72, 37, 185, 155]",1
cheese,1,valid/images/bd36fe11a22be88b_jpg.rf.1c67f3002a48e6f89df39890ffc39826.jpg,"[0, 97, 445, 689]",1
cheese,1,valid/images/bd36fe11a22be88b_jpg.rf.1c67f3002a48e6f89df39890ffc39826.jpg,"[437, 115, 1022, 701]",1
egg,3,valid/images/not_damaged_61_jpg.rf.45e74ee28224f42a406f72231d1ad92f.jpg,"[293, 474, 984, 1079]",1
tomato,8,valid/images/tomato_lp_1_jpg.rf.d1798877a667886a84998b821775b712.jpg,"[494, 63, 1376, 1000]",1
cucumber,2,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[4039, 0, 4895, 830]",1
cucumber,2,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[4265, 775, 5040, 1690]",1
cucumber,2,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[4535, 1695, 5040, 2495]",1
cucumber,2,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[4845, 2715, 5040, 3290]",1
cucumber,2,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[1465, 2670, 2240, 3360]",1
cucumber,2,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[1299, 1890, 2065, 2775]",1
cucumber,2,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[1080, 1220, 1705, 2050]",1
cucumber,2,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[910, 520, 1435, 1350]",1
cucumber,2,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[415, 0, 1175, 640]",1
tomato,8,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[2227, 2740, 2813, 3345]",1
tomato,8,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[2029, 1981, 2595, 2581]",1
tomato,8,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[1757, 1202, 2356, 1787]",1
tomato,8,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[1544, 481, 2125, 1069]",1
tomato,8,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[1245, 0, 1783, 330]",1
tomato,8,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[3391, 22, 4005, 629]",1
tomato,8,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[3695, 860, 4264, 1458]",1
tomato,8,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[3973, 1720, 4585, 2329]",1
tomato,8,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[4197, 2553, 4794, 3191]",1
carrot,0,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[2072, 0, 3061, 1121]",1
carrot,0,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[2342, 362, 3366, 1972]",1
carrot,0,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[2592, 1212, 3621, 2664]",1
carrot,0,valid/images/0039_png.rf.328328b544afeca2ca71028c8bcf4570.jpg,"[2792, 2042, 3876, 3359]",1
potato,6,valid/images/images-2023-06-09T192354-756_jpeg_jpg.rf.5f2a5d168420a5d8bf81536da20c3a76.jpg,"[90, 175, 297, 447]",1
potato,6,valid/images/images-2023-06-09T192354-756_jpeg_jpg.rf.5f2a5d168420a5d8bf81536da20c3a76.jpg,"[225, 273, 507, 472]",1
potato,6,valid/images/images-2023-06-09T192354-756_jpeg_jpg.rf.5f2a5d168420a5d8bf81536da20c3a76.jpg,"[406, 238, 546, 359]",1
cheese,1,valid/images/-63_jpg.rf.7c460ec9d93b7a6e533ab79150849c84.jpg,"[0, 0, 195, 126]",1
cheese,1,valid/images/-63_jpg.rf.7c460ec9d93b7a6e533ab79150849c84.jpg,"[14, 125, 225, 225]",1
carrot,0,valid/images/-_-_jpg.rf.67a1f9bbf1d4677520abd81bcc98ba64.jpg,"[215, 275, 499, 1081]",1
egg,3,valid/images/not_damaged_50_jpg.rf.2d876d2a09adc9b88f08f1df522757cf.jpg,"[393, 337, 1022, 693]",1
eggplant,4,valid/images/IMG_9452_jpg.rf.7d9ee343e1e4f839ab177071589ac6ae.jpg,"[646, 313, 881, 1017]",1
milk,5,valid/images/-6_jpg.rf.fe90d81f6d41e2af2d0a114cba365bd3.jpg,"[146, 3, 318, 522]",1
carrot,0,valid/images/-50_jpeg.rf.a42c99b2f98a0f01a4987faa22ddc3cb.jpg,"[56, 232, 833, 539]",1
carrot,0,valid/images/-50_jpeg.rf.a42c99b2f98a0f01a4987faa22ddc3cb.jpg,"[14, 460, 992, 721]",1
cheese,1,valid/images/Screenshot-146-_png.rf.6889711ceff94c5a2a76541166ca5258.jpg,"[12, 8, 342, 347]",1
cheese,1,valid/images/-107_jpg.rf.210f4496900e9d99a31e741b6590274b.jpg,"[99, 0, 374, 288]",1
cheese,1,valid/images/-107_jpg.rf.210f4496900e9d99a31e741b6590274b.jpg,"[286, 383, 390, 520]",1
cheese,1,valid/images/-107_jpg.rf.210f4496900e9d99a31e741b6590274b.jpg,"[156, 416, 281, 526]",1
cheese,1,valid/images/-107_jpg.rf.210f4496900e9d99a31e741b6590274b.jpg,"[155, 288, 268, 421]",1
cheese,1,valid/images/-107_jpg.rf.210f4496900e9d99a31e741b6590274b.jpg,"[567, 172, 689, 325]",1
cheese,1,valid/images/-33_jpg.rf.f9bad1a26e0136fb0fb7b11ea6c18a7b.jpg,"[0, 0, 274, 165]",1
milk,5,valid/images/420174480_764825369003905_3939609939429101717_n_jpg.rf.4afac966a74aa9540bdbbf473f752dea.jpg,"[30, 5, 118, 169]",1
eggplant,4,valid/images/593_jpg.rf.97935671a449553c990fdfd576258a7d.jpg,"[22, 6, 251, 288]",1
eggplant,4,valid/images/images-18-_jpg.rf.24024b3a3a414d9dd1808df45b15149b.jpg,"[7, 11, 126, 191]",1
eggplant,4,valid/images/images-18-_jpg.rf.24024b3a3a414d9dd1808df45b15149b.jpg,"[38, 48, 129, 261]",1
eggplant,4,valid/images/images-18-_jpg.rf.24024b3a3a414d9dd1808df45b15149b.jpg,"[66, 31, 167, 245]",1
egg,3,valid/images/-53_jpg.rf.9f8b90d945edf48fb300a1ec692b7004.jpg,"[278, 59, 564, 446]",1
egg,3,valid/images/-3_jpg.rf.4a9d952c371da4d25f80a288d5ba01de.jpg,"[317, 333, 553, 514]",1
egg,3,valid/images/-3_jpg.rf.4a9d952c371da4d25f80a288d5ba01de.jpg,"[255, 183, 446, 371]",1
egg,3,valid/images/-3_jpg.rf.4a9d952c371da4d25f80a288d5ba01de.jpg,"[443, 228, 620, 447]",1
eggplant,4,valid/images/images-7-_jpg.rf.e385b007aca36d05b54603af9b24a876.jpg,"[55, 0, 192, 154]",1
eggplant,4,valid/images/images-7-_jpg.rf.e385b007aca36d05b54603af9b24a876.jpg,"[48, 28, 214, 95]",1
potato,6,valid/images/naver_0071_jpg.rf.dd5dc030ea9e62b3cfb48fb03dc1b4cb.jpg,"[30, 53, 319, 404]",1
potato,6,valid/images/naver_0071_jpg.rf.dd5dc030ea9e62b3cfb48fb03dc1b4cb.jpg,"[207, 254, 485, 614]",1
potato,6,valid/images/naver_0071_jpg.rf.dd5dc030ea9e62b3cfb48fb03dc1b4cb.jpg,"[298, 41, 550, 400]",1
cucumber,2,valid/images/0070_png.rf.c19be65f67510dc7ce9511a3c2b354ae.jpg,"[1409, 1649, 2610, 4009]",1
cucumber,2,valid/images/-_jpeg.rf.4bf11f5e75f4337e2090bfe11d8bc437.jpg,"[51, 13, 589, 556]",1
eggplant,4,valid/images/IMG_9380_jpg.rf.c25e08b05d719b3a9d04b10fc879c3f7.jpg,"[59, 143, 863, 1241]",1
potato,6,valid/images/297_jpg.rf.006e3e8440f4bb3b3ca6f2716423c3d3.jpg,"[187, 144, 546, 477]",1
potato,6,valid/images/297_jpg.rf.006e3e8440f4bb3b3ca6f2716423c3d3.jpg,"[468, 154, 637, 338]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[98, 126, 290, 245]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[166, 36, 333, 142]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[115, 529, 297, 628]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[134, 400, 316, 510]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[207, 177, 460, 290]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[195, 321, 465, 473]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[239, 483, 440, 614]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[463, 20, 640, 120]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[455, 155, 640, 267]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[429, 514, 612, 617]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[455, 433, 624, 538]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[490, 294, 640, 395]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[0, 240, 204, 412]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[294, 86, 480, 235]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[302, 31, 457, 130]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[438, 90, 584, 194]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[26, 7, 165, 97]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[12, 74, 102, 206]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[0, 382, 121, 513]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[38, 491, 173, 591]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[92, 440, 265, 541]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[355, 292, 535, 432]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[527, 374, 635, 456]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[486, 599, 606, 640]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[168, 254, 362, 366]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[95, 0, 240, 53]",1
potato,6,valid/images/-120_jpg.rf.6b66a7749bbca064e57324e0df9c0271.jpg,"[573, 94, 640, 192]",1
cucumber,2,valid/images/-32_jpg.rf.8e546bfc4c125191a697362a4db8f57f.jpg,"[332, 142, 520, 660]",1
carrot,0,valid/images/729162874_144441_mp4-0044_jpg.rf.1a281c8653ff9944455a6f0ed01f7178.jpg,"[0, 124, 155, 636]",1
cheese,1,valid/images/-2_jpg.rf.3c936c2fc63f6f25be6b8410ab64a433.jpg,"[254, 287, 897, 868]",1
cheese,1,valid/images/-2_jpg.rf.3c936c2fc63f6f25be6b8410ab64a433.jpg,"[604, 4, 1081, 407]",1
cheese,1,valid/images/-2_jpg.rf.3c936c2fc63f6f25be6b8410ab64a433.jpg,"[977, 324, 1493, 853]",1
egg,3,valid/images/-26_jpg.rf.ab7e5b9a1a673f1be6b9906698974433.jpg,"[293, 253, 624, 609]",1
egg,3,valid/images/-26_jpg.rf.ab7e5b9a1a673f1be6b9906698974433.jpg,"[493, 68, 859, 416]",1
eggplant,4,valid/images/istockphoto-478663118-612x612_jpg.rf.3cdcad93bb061d692ba22705541fbfa8.jpg,"[329, 127, 546, 545]",1
eggplant,4,valid/images/istockphoto-478663118-612x612_jpg.rf.3cdcad93bb061d692ba22705541fbfa8.jpg,"[112, 130, 331, 520]",1
cheese,1,valid/images/14186ab0b077a9f9_jpg.rf.c1bbb8f1f06c52e0eac3422187e6aadd.jpg,"[58, 107, 977, 385]",1
cheese,1,valid/images/14186ab0b077a9f9_jpg.rf.c1bbb8f1f06c52e0eac3422187e6aadd.jpg,"[65, 339, 928, 583]",1
tomato,8,valid/images/WhatsApp-Image-2023-01-30-at-11-36-22-AM-3-_jpeg.rf.c8f7af61785f97278f44326113d66c3e.jpg,"[19, 6, 209, 196]",1
eggplant,4,valid/images/istockphoto-1403863485-612x612_jpg.rf.49bda8d42791b12d24b9b061f86a98f6.jpg,"[50, 97, 568, 542]",1
cheese,1,valid/images/-24_jpg.rf.7c7579d5a2de1638934f36f3ef2c8202.jpg,"[45, 15, 185, 105]",1
cheese,1,valid/images/-24_jpg.rf.7c7579d5a2de1638934f36f3ef2c8202.jpg,"[16, 72, 146, 155]",1
sausage,7,valid/images/-22_jpg.rf.54562fae9d4598c6fc012a699ce873eb.jpg,"[62, 117, 455, 328]",1
sausage,7,valid/images/-22_jpg.rf.54562fae9d4598c6fc012a699ce873eb.jpg,"[435, 187, 593, 340]",1
tomato,8,valid/images/download-9-_augmented_1_jpg.rf.20b0e83eb0fcaaaa8085526fa268056e.jpg,"[18, 10, 209, 211]",1
tomato,8,valid/images/WhatsApp-Image-2023-01-30-at-11-36-22-AM-7-_jpeg.rf.c6db1fea2a37e0495a673be2eec1e8ad.jpg,"[135, 49, 254, 179]",1
tomato,8,valid/images/WhatsApp-Image-2023-01-30-at-11-36-22-AM-7-_jpeg.rf.c6db1fea2a37e0495a673be2eec1e8ad.jpg,"[16, 20, 148, 151]",1
tomato,8,valid/images/download-2-_augmented_1_jpg.rf.b63aac15bcd650daa527c67249c6b6e6.jpg,"[74, 30, 198, 159]",1
eggplant,4,valid/images/images-41-_jpg.rf.cc9aaabfa26b10e450e841387eebfc29.jpg,"[25, 59, 180, 151]",1
cheese,1,valid/images/-12_jpg.rf.0995b5a6d2be5ac53a3b1f5bfea3e4ce.jpg,"[316, 37, 812, 407]",1
cheese,1,valid/images/-12_jpg.rf.0995b5a6d2be5ac53a3b1f5bfea3e4ce.jpg,"[137, 260, 477, 473]",1
potato,6,valid/images/naver_0041_jpg.rf.a162f90728f47a52fbfd725179813f6b.jpg,"[128, 62, 455, 560]",1
eggplant,4,valid/images/483_jpg.rf.9fe64ad87702a23d9e7e43bfba31ef8c.jpg,"[145, 11, 232, 251]",1
eggplant,4,valid/images/images-14-_jpg.rf.cacc7155ed52691d6a2d23697f0d5f6d.jpg,"[110, 17, 210, 156]",1
eggplant,4,valid/images/images-14-_jpg.rf.cacc7155ed52691d6a2d23697f0d5f6d.jpg,"[118, 0, 288, 123]",1
eggplant,4,valid/images/istockphoto-1267481249-612x612_jpg.rf.ad47446801fa6b0c81e2a31a11744116.jpg,"[102, 226, 211, 536]",1
eggplant,4,valid/images/istockphoto-1267481249-612x612_jpg.rf.ad47446801fa6b0c81e2a31a11744116.jpg,"[419, 66, 521, 348]",1
carrot,0,valid/images/729162874_238356_mp4-0029_jpg.rf.7564d758d498883dc078bb59a1cd2ca3.jpg,"[142, 45, 296, 493]",1
eggplant,4,valid/images/504_jpg.rf.24a18fd2cf6483a24898f1142be5a827.jpg,"[21, 3, 282, 242]",1
eggplant,4,valid/images/istockphoto-178781705-612x612_jpg.rf.201ac3fa5a7a1538cf8c3206e011e75e.jpg,"[175, 191, 592, 529]",1
eggplant,4,valid/images/20230217_122955_jpg.rf.5e664d24d2f31043595a55d9c1d65eac.jpg,"[103, 77, 236, 467]",1
cucumber,2,valid/images/detection_1686255364253_jpg.rf.85ded0f55f4d8e988447fc94db36e060.jpg,"[93, 147, 455, 289]",1
eggplant,4,valid/images/IMG_0654_JPG.rf.ca488ab827a4ff0e774ae1edbad1cf1c.jpg,"[525, 1234, 2159, 1940]",1
egg,3,valid/images/-43_jpg.rf.20cc6606af0cf10f6b60a31081107db6.jpg,"[405, 310, 639, 585]",1
egg,3,valid/images/-43_jpg.rf.20cc6606af0cf10f6b60a31081107db6.jpg,"[23, 214, 263, 386]",1
egg,3,valid/images/-43_jpg.rf.20cc6606af0cf10f6b60a31081107db6.jpg,"[0, 66, 195, 269]",1
tomato,8,valid/images/images-12-_augmented_2_jpg.rf.e501190ff6ecf0f479da912f1cdceafa.jpg,"[58, 66, 175, 215]",1
egg,3,valid/images/not_damaged_5_jpg.rf.724d24e9683bca7f6033a3efba53f486.jpg,"[278, 522, 719, 957]",1
eggplant,4,valid/images/A12BRSW6PTQC_jpg.rf.9d7ec9a244818787a605f62a4262acec.jpg,"[44, 83, 322, 591]",1
eggplant,4,valid/images/A12BRSW6PTQC_jpg.rf.9d7ec9a244818787a605f62a4262acec.jpg,"[301, 113, 552, 570]",1
eggplant,4,valid/images/80187_2_1218722_jpg.rf.f740a772b37931b35d31ca29ef1ec3d0.jpg,"[22, 87, 245, 168]",1
eggplant,4,valid/images/80187_2_1218722_jpg.rf.f740a772b37931b35d31ca29ef1ec3d0.jpg,"[14, 18, 177, 99]",1
potato,6,valid/images/-101_jpg.rf.55d958e47c2791b9f11fcb0af2bd72d8.jpg,"[119, 140, 575, 530]",1
potato,6,valid/images/-107_jpg.rf.b78568513ee7365e1ad32962173ad575.jpg,"[54, 426, 418, 648]",1
potato,6,valid/images/-107_jpg.rf.b78568513ee7365e1ad32962173ad575.jpg,"[283, 333, 562, 533]",1
potato,6,valid/images/-107_jpg.rf.b78568513ee7365e1ad32962173ad575.jpg,"[506, 441, 786, 694]",1
potato,6,valid/images/-107_jpg.rf.b78568513ee7365e1ad32962173ad575.jpg,"[698, 367, 842, 617]",1
cucumber,2,valid/images/0078_png.rf.b045c82b0daf4c46c68b7bd59b88206d.jpg,"[571, 216, 870, 497]",1
cucumber,2,valid/images/0078_png.rf.b045c82b0daf4c46c68b7bd59b88206d.jpg,"[513, 486, 777, 755]",1
cucumber,2,valid/images/0078_png.rf.b045c82b0daf4c46c68b7bd59b88206d.jpg,"[748, 495, 981, 758]",1
cucumber,2,valid/images/0078_png.rf.b045c82b0daf4c46c68b7bd59b88206d.jpg,"[797, 388, 1017, 585]",1
cucumber,2,valid/images/0078_png.rf.b045c82b0daf4c46c68b7bd59b88206d.jpg,"[0, 236, 577, 671]",1
cucumber,2,valid/images/-51_jpg.rf.755a3e39d7808bd1a0dc562a6562d4fb.jpg,"[141, 521, 779, 682]",1
cucumber,2,valid/images/-51_jpg.rf.755a3e39d7808bd1a0dc562a6562d4fb.jpg,"[201, 323, 873, 513]",1
cucumber,2,valid/images/-51_jpg.rf.755a3e39d7808bd1a0dc562a6562d4fb.jpg,"[301, 205, 926, 364]",1
cucumber,2,valid/images/-51_jpg.rf.755a3e39d7808bd1a0dc562a6562d4fb.jpg,"[224, 66, 799, 215]",1
cheese,1,valid/images/-96-_jpg.rf.98060910cfb6180cef9e3bcaaed0a52a.jpg,"[48, 8, 175, 215]",1
potato,6,valid/images/-72_jpg.rf.669c7060749a7906d591022b73a90878.jpg,"[130, 98, 485, 734]",1
cheese,1,valid/images/-74_jpg.rf.e4cb292b41cbe8d366e9e626387de809.jpg,"[0, 22, 199, 174]",1
milk,5,valid/images/-82_jpg.rf.7c874b2735d6868ece2cb19f8e21ad9e.jpg,"[18, 0, 571, 760]",1
eggplant,4,valid/images/20230217_135255_jpg.rf.20edab047505d9a01acee743ad55325a.jpg,"[129, 28, 294, 543]",1
cheese,1,valid/images/-115_jpg.rf.b21aa74bc814e3d8d692a77f7c4728a6.jpg,"[39, 27, 337, 498]",1
cheese,1,valid/images/-115_jpg.rf.b21aa74bc814e3d8d692a77f7c4728a6.jpg,"[433, 26, 714, 497]",1
eggplant,4,valid/images/394_jpg.rf.a40b11d10e5863ef7329eca81b3cb50d.jpg,"[228, 16, 346, 247]",1
cheese,1,valid/images/-88_jpg.rf.35703feb743ef9fc3d6dac99a0f7aa30.jpg,"[40, 26, 226, 156]",1
potato,6,valid/images/-79_jpg.rf.300eaad85d86e6a44613ae38dcaa1d47.jpg,"[144, 500, 382, 657]",1
potato,6,valid/images/-79_jpg.rf.300eaad85d86e6a44613ae38dcaa1d47.jpg,"[300, 402, 539, 536]",1
potato,6,valid/images/-79_jpg.rf.300eaad85d86e6a44613ae38dcaa1d47.jpg,"[380, 486, 630, 691]",1
potato,6,valid/images/-79_jpg.rf.300eaad85d86e6a44613ae38dcaa1d47.jpg,"[651, 530, 846, 702]",1
potato,6,valid/images/-79_jpg.rf.300eaad85d86e6a44613ae38dcaa1d47.jpg,"[577, 372, 797, 571]",1
potato,6,valid/images/-79_jpg.rf.300eaad85d86e6a44613ae38dcaa1d47.jpg,"[795, 477, 960, 654]",1
potato,6,valid/images/-79_jpg.rf.300eaad85d86e6a44613ae38dcaa1d47.jpg,"[965, 427, 1127, 643]",1
potato,6,valid/images/-79_jpg.rf.300eaad85d86e6a44613ae38dcaa1d47.jpg,"[820, 312, 1058, 493]",1
potato,6,valid/images/-79_jpg.rf.300eaad85d86e6a44613ae38dcaa1d47.jpg,"[741, 302, 846, 399]",1
sausage,7,valid/images/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzE5OTA1Mzk3L29yaWdpbmFsLzIvMjAyMy0wNi0wNlQxMiUzQTU2JTNBNDUuODE3ODI1JTJCMDAlM0EwMC8xOTkwNTM5N18yLmpwZw-_jpg.rf.43cebc1e8a5c502e2a05e104132b6bd8.jpg,"[87, 117, 419, 331]",1
cucumber,2,valid/images/detection_1686589471113_jpg.rf.7aef7a1b45e2615587fdc583826fcaef.jpg,"[49, 86, 491, 167]",1
milk,5,valid/images/-109_jpg.rf.1405b090e746a6a958171a973969513a.jpg,"[170, 300, 316, 714]",1
milk,5,valid/images/-109_jpg.rf.1405b090e746a6a958171a973969513a.jpg,"[373, 298, 514, 712]",1
milk,5,valid/images/-109_jpg.rf.1405b090e746a6a958171a973969513a.jpg,"[575, 300, 730, 710]",1
milk,5,valid/images/-109_jpg.rf.1405b090e746a6a958171a973969513a.jpg,"[780, 300, 916, 707]",1
milk,5,valid/images/-109_jpg.rf.1405b090e746a6a958171a973969513a.jpg,"[985, 303, 1130, 714]",1
milk,5,valid/images/-109_jpg.rf.1405b090e746a6a958171a973969513a.jpg,"[1195, 303, 1325, 710]",1
potato,6,valid/images/-87_jpg.rf.90b1932453f8a4da89d17eaffc509acf.jpg,"[448, 21, 716, 264]",1
potato,6,valid/images/-87_jpg.rf.90b1932453f8a4da89d17eaffc509acf.jpg,"[240, 44, 555, 522]",1
potato,6,valid/images/-87_jpg.rf.90b1932453f8a4da89d17eaffc509acf.jpg,"[16, 76, 241, 463]",1
eggplant,4,valid/images/eggplant-flower-edit_full_width_jpg.rf.fb27ddeb6f210fb20b8d765133b8a7b7.jpg,"[255, 24, 457, 451]",1
eggplant,4,valid/images/eggplant-flower-edit_full_width_jpg.rf.fb27ddeb6f210fb20b8d765133b8a7b7.jpg,"[560, 234, 638, 369]",1
carrot,0,valid/images/-52_jpg.rf.cde6d32eb39cce7264af495a40683459.jpg,"[357, 301, 667, 482]",1
carrot,0,valid/images/-52_jpg.rf.cde6d32eb39cce7264af495a40683459.jpg,"[304, 193, 717, 336]",1
carrot,0,valid/images/-52_jpg.rf.cde6d32eb39cce7264af495a40683459.jpg,"[330, 131, 646, 280]",1
carrot,0,valid/images/-52_jpg.rf.cde6d32eb39cce7264af495a40683459.jpg,"[193, 91, 492, 329]",1
cucumber,2,valid/images/0057_png.rf.273ebabe30d75d1c00988ea48dfd1451.jpg,"[449, 1735, 4705, 2430]",1
sausage,7,valid/images/20240226_103228_jpg.rf.15732a9f87526a3c967601d968b4a46b.jpg,"[1269, 602, 2753, 1871]",1
sausage,7,valid/images/20240226_103228_jpg.rf.15732a9f87526a3c967601d968b4a46b.jpg,"[0, 0, 2451, 295]",1
cheese,1,valid/images/-36_jpg.rf.aac3e5213d259fd568cd081a8c4bac9f.jpg,"[18, 10, 72, 67]",1
cheese,1,valid/images/-36_jpg.rf.aac3e5213d259fd568cd081a8c4bac9f.jpg,"[107, 6, 206, 98]",1
cheese,1,valid/images/-36_jpg.rf.aac3e5213d259fd568cd081a8c4bac9f.jpg,"[100, 86, 164, 139]",1
cheese,1,valid/images/-36_jpg.rf.aac3e5213d259fd568cd081a8c4bac9f.jpg,"[26, 63, 106, 118]",1
egg,3,valid/images/-26_jpg.rf.b5746fc3c00823d75ab844694efe9af5.jpg,"[446, 131, 658, 367]",1
